t,S,I,R
0.0,55748,1,0
0.528666013670596,55747,2,0
0.6778510335335414,55746,3,0
0.8234402261369121,55745,4,0
0.8617969306349452,55745,3,1
0.8705781871055481,55744,4,1
0.8801480239346899,55743,5,1
0.9728808833113668,55742,6,1
0.9975743935477286,55741,7,1
1.0485795097549717,55740,8,1
1.1348843876638621,55740,7,2
1.1452731399308451,55739,8,2
1.1965700687430898,55738,9,2
1.2778232641564338,55737,10,2
1.3168133602642542,55736,11,2
1.3361270253951487,55735,12,2
1.337458698928518,55734,13,2
1.3581316225315874,55733,14,2
1.3795870071531886,55733,13,3
1.3893614818517561,55732,14,3
1.4047811364896636,55732,13,4
1.4235589468668226,55731,14,4
1.4622546576268316,55730,15,4
1.5040995313350805,55729,16,4
1.5329107982557104,55728,17,4
1.5752016529527921,55728,16,5
1.5935338778998058,55727,17,5
1.6067317517715627,55726,18,5
1.6370192001758803,55726,17,6
1.6495394150264375,55725,18,6
1.654325327426786,55724,19,6
1.6643714506480511,55723,20,6
1.6696732644148669,55722,21,6
1.7018834997681922,55722,20,7
1.727138414831171,55722,19,8
1.7478584349166675,55722,18,9
1.7527439031875112,55721,19,9
1.7839747176540235,55721,18,10
1.791793417471509,55720,19,10
1.7984370863633554,55719,20,10
1.8051157352044562,55719,19,11
1.805570576551991,55718,20,11
1.8064658747433364,55718,19,12
1.8083416338809344,55717,20,12
1.8086994549860078,55716,21,12
1.8127102397206991,55716,20,13
1.8162447565120676,55715,21,13
1.8329924378924738,55714,22,13
1.8346906681490613,55713,23,13
1.8765156070388997,55712,24,13
1.8770683846052238,55712,23,14
1.892641408955001,55711,24,14
1.8939805875320523,55710,25,14
1.8982224779108616,55709,26,14
1.9178175475056032,55708,27,14
1.9322565893495653,55707,28,14
1.9385222060128886,55706,29,14
1.9498035539279526,55705,30,14
1.9596470999634958,55705,29,15
1.9620296053217992,55705,28,16
1.9667958446323777,55704,29,16
1.9684728321739815,55703,30,16
1.9687652775308306,55703,29,17
1.9703448843423634,55702,30,17
1.9740171389692829,55701,31,17
1.997440474741005,55700,32,17
1.9987587540770368,55700,31,18
2.043963851295774,55699,32,18
2.0470509263549292,55699,31,19
2.059695358954591,55698,32,19
2.0631710263035545,55697,33,19
2.0697889062081045,55696,34,19
2.0928330195901754,55696,33,20
2.093702377714897,55695,34,20
2.1129908759755702,55694,35,20
2.115551655456175,55693,36,20
2.1330861674443704,55692,37,20
2.136145175355618,55692,36,21
2.136616844635517,55691,37,21
2.1442252276222806,55691,36,22
2.162619835310668,55690,37,22
2.164001261446106,55689,38,22
2.16674891254503,55689,37,23
2.1669281097160904,55688,38,23
2.1773581062290086,55687,39,23
2.1787992312523827,55686,40,23
2.1789038220539,55685,41,23
2.1804986609902635,55684,42,23
2.1808447729986766,55683,43,23
2.1815708006457997,55682,44,23
2.182768379161865,55681,45,23
2.1851481034937397,55680,46,23
2.1857996744575576,55679,47,23
2.186199692909044,55678,48,23
2.1870357774168605,55677,49,23
2.1874102613599025,55676,50,23
2.1882552676625857,55675,51,23
2.18964783025028,55674,52,23
2.190453494955179,55673,53,23
2.191865885374644,55672,54,23
2.1931154026849295,55671,55,23
2.193131650589919,55670,56,23
2.1933606505811762,55669,57,23
2.1939748314748693,55668,58,23
2.1942910414110552,55667,59,23
2.1945129065154503,55666,60,23
2.1945621131554747,55665,61,23
2.1948724472643963,55664,62,23
2.194913814126213,55663,63,23
2.195153287470922,55662,64,23
2.195424265788408,55661,65,23
2.1955611487955107,55660,66,23
2.1959934505999783,55659,67,23
2.1968973441280575,55658,68,23
2.196989566513423,55657,69,23
2.1972060648470175,55656,70,23
2.1972354002880445,55655,71,23
2.1980097135596646,55654,72,23
2.1980506517847997,55653,73,23
2.1983004545093854,55652,74,23
2.1984152453546697,55651,75,23
2.199048586582974,55650,76,23
2.199109175523321,55649,77,23
2.1991459292487465,55648,78,23
2.1993930006917637,55647,79,23
2.199446935827585,55646,80,23
2.19964986441615,55645,81,23
2.199696111765932,55644,82,23
2.199731290186517,55643,83,23
2.19975288448453,55642,84,23
