t,S,I
0.0,50174,1
4.7106264542128855,50173,2
7.532161357820215,50172,3
10.517300363714586,50171,4
12.073379325417099,50170,5
14.872137936830423,50169,6
15.620334428778651,50168,7
18.028494057002305,50167,8
18.17226319563138,50166,9
18.2658991754339,50165,10
18.322272260045867,50164,11
18.462080872831418,50163,12
18.7748393852026,50162,13
19.012046072211817,50161,14
19.190042245917454,50160,15
19.265259498817468,50159,16
19.291488136284936,50158,17
19.467059579954768,50157,18
19.60073794229728,50156,19
19.636315344156795,50155,20
19.692469378773545,50154,21
19.733038556612946,50153,22
19.743836895126904,50152,23
19.830604267689264,50151,24
19.857736473461063,50150,25
20.199126326545734,50149,26
20.229058159289707,50148,27
20.470672344833247,50147,28
20.49131478084758,50146,29
20.54980787082031,50145,30
20.61610794637235,50144,31
20.643338826477034,50143,32
20.75374434441927,50142,33
20.762415589496417,50141,34
20.833921978511746,50140,35
20.916557283714226,50139,36
20.980852273634568,50140,35
20.982689127896126,50139,36
20.99577854692202,50138,37
21.0481239781159,50137,38
21.060144697094916,50136,39
21.071775382192783,50135,40
21.1654521356183,50134,41
21.181491173183563,50133,42
21.313250571112555,50132,43
21.37526017396568,50131,44
21.378787358620297,50130,45
21.386008554312813,50129,46
21.39341554787304,50128,47
21.456275689560375,50127,48
21.664981667755516,50126,49
21.710724597766667,50125,50
21.88301609125061,50124,51
21.998881631164874,50123,52
22.081210233970086,50122,53
22.129123844739162,50121,54
22.14647551548623,50120,55
22.185181715812327,50119,56
22.188569110344467,50118,57
22.2589127353243,50117,58
22.261046117821582,50118,57
22.345520084666564,50117,58
22.46760641762363,50116,59
22.59018511919314,50115,60
22.680834548889994,50114,61
22.687216511724024,50113,62
22.836749381540386,50112,63
22.88552789620691,50111,64
22.92193530291406,50110,65
22.935881756759745,50111,64
22.936364222466132,50110,65
22.99893122078048,50109,66
23.009083996517475,50108,67
23.042712335794924,50107,68
23.35769605439887,50106,69
23.368286839871683,50105,70
23.403626185704532,50104,71
23.443243696501376,50103,72
23.491214920558555,50102,73
23.553783106415494,50101,74
23.597006998008062,50100,75
23.62224925344662,50099,76
23.653620516470497,50098,77
23.712176127750546,50097,78
23.763536342402602,50096,79
23.8104944395331,50095,80
23.849769960877637,50096,79
23.889408623453665,50095,80
24.33589793439156,50094,81
24.336107431716115,50093,82
24.357106990060906,50092,83
24.398177694571622,50091,84
24.425301429461275,50090,85
24.469426590998776,50089,86
24.478461950233847,50088,87
24.527820040908335,50087,88
24.54291186594019,50086,89
24.577802529014996,50085,90
24.594612608284596,50084,91
24.608705433136514,50083,92
24.640056257548746,50082,93
24.645115008058553,50081,94
24.646988590771866,50080,95
24.648586488981667,50079,96
24.654149454214732,50078,97
24.658831035401658,50077,98
24.66799023154802,50076,99
24.68325817758235,50075,100
24.688713189905084,50074,101
24.702169885301693,50073,102
24.71418409696319,50072,103
24.71593812428097,50071,104
24.71953210696244,50070,105
24.732696268701623,50069,106
24.745507929948722,50068,107
24.747044622475943,50067,108
24.753134844052862,50066,109
24.754161672852423,50065,110
24.75879378870061,50064,111
24.760579480127994,50063,112
24.76316134546845,50062,113
24.763426624037447,50061,114
24.773792962992072,50060,115
24.776400718061495,50059,116
24.784379283802405,50058,117
24.801507646274878,50057,118
24.802476390614377,50056,119
24.809628873311986,50055,120
24.81472795220561,50054,121
24.819947729029433,50053,122
24.822093358043247,50052,123
24.82583119544853,50051,124
24.827712872925378,50050,125
24.82960406117447,50049,126
24.82990661066813,50048,127
24.83122441098264,50047,128
24.831347288399726,50046,129
24.831637013701847,50045,130
24.832454523449346,50044,131
24.838261020166343,50043,132
24.83858210893851,50042,133
24.843652098146165,50041,134
24.844337117650305,50040,135
24.84450200439769,50039,136
24.849019135154485,50038,137
24.857366604687442,50037,138
24.864996797494985,50036,139
24.866334936897758,50035,140
24.867634166078027,50034,141
24.870009650240213,50033,142
24.87567839284231,50032,143
24.875851600123283,50031,144
24.87759350017502,50030,145
24.877661298270972,50029,146
24.878799772407447,50028,147
24.879226612380897,50027,148
24.88187803071953,50026,149
24.881886309276748,50025,150
24.882339894885156,50024,151
24.887441889240552,50023,152
24.890152050956384,50022,153
24.890244995893752,50021,154
24.891820252188722,50020,155
24.896523269849098,50019,156
24.898764703207885,50018,157
24.90074496370908,50017,158
24.90083804396934,50016,159
24.903014031350338,50015,160
24.904262593448518,50014,161
24.905715476498063,50013,162
24.90737063818535,50012,163
24.90976201609593,50011,164
24.910566471996745,50010,165
24.91296181397174,50009,166
24.91806477803611,50008,167
24.921547686834746,50007,168
24.92319473989905,50006,169
24.926546221702687,50005,170
24.932309696658344,50004,171
24.93253371685433,50003,172
24.932695517008273,50002,173
24.9366072482787,50001,174
24.93720000369571,50000,175
24.94080673808502,49999,176
24.943409839016066,49998,177
24.946488736441843,49997,178
24.951690731884177,49996,179
24.953284495168806,49995,180
24.959981619070817,49994,181
24.960411486083803,49995,180
24.96131617289545,49994,181
24.96227721097775,49993,182
24.96799837403012,49992,183
24.968421385968124,49991,184
24.972351148583392,49990,185
24.97292842492293,49989,186
24.97628139646088,49988,187
24.978183317870894,49987,188
24.979275491187533,49986,189
24.982226676743228,49985,190
24.993349957169517,49984,191
24.995661755079308,49983,192
25.003576359808655,49982,193
25.00473599922859,49981,194
25.007489284538007,49980,195
25.009578378668092,49979,196
25.010494384002595,49978,197
25.011905462760673,49977,198
25.012080541327883,49976,199
25.0125258009113,49975,200
25.01583307787864,49974,201
25.016811434974798,49973,202
25.01940747343693,49972,203
25.02362641333269,49971,204
25.0240739666881,49970,205
25.024270518372926,49969,206
25.026354984814848,49968,207
25.02842215157472,49967,208
25.029754997918044,49966,209
25.033794225368208,49965,210
25.034263459719874,49964,211
25.036516364459096,49963,212
25.03787503649739,49962,213
25.038259746215015,49961,214
25.038815596765595,49960,215
25.039353589269908,49959,216
25.03978995756907,49958,217
25.04256782476298,49957,218
25.04308123795627,49956,219
25.043590782154055,49955,220
25.050446172387407,49954,221
25.05396375869188,49953,222
25.05402909439796,49952,223
25.056223121755824,49951,224
25.056439943709478,49950,225
25.05691802665849,49949,226
25.058217974127224,49948,227
25.058900854007845,49947,228
25.06312463242242,49946,229
25.064527019276706,49945,230
25.068681474475614,49944,231
25.068868019412545,49943,232
25.07387280636596,49942,233
25.078641318688614,49941,234
25.084540900256542,49940,235
25.08681002096821,49939,236
25.086960290217768,49938,237
25.094008426395522,49937,238
25.0952334913829,49936,239
25.097670110500996,49935,240
25.098198995506575,49934,241
25.099615834051843,49933,242
25.102946228877872,49932,243
25.10818437959269,49931,244
25.110985388332153,49930,245
25.11742873064215,49929,246
25.121259274832447,49928,247
25.121739522981937,49927,248
25.12401166662157,49926,249
25.12474531044433,49925,250
25.130687728662675,49924,251
25.135444583167942,49923,252
25.136865173393584,49922,253
25.138637554608028,49921,254
25.139616964787155,49920,255
25.14584633392319,49919,256
25.147385634147515,49918,257
25.149580493304434,49917,258
25.15018768053448,49916,259
25.15039913608918,49915,260
25.151682357675025,49914,261
25.1524100924384,49913,262
25.161104114202118,49912,263
25.16249474470185,49911,264
25.163824313558006,49910,265
25.168232505698906,49909,266
25.17418983510353,49908,267
25.17513902910655,49907,268
25.175142148416445,49906,269
25.180375843822656,49905,270
25.181047379588083,49904,271
25.181366984875915,49903,272
25.188009262502465,49902,273
25.192831710699508,49901,274
25.193691372321847,49900,275
25.197777503404307,49899,276
25.2034449397721,49898,277
25.205212314572556,49897,278
25.205356866827298,49896,279
25.214389728749577,49895,280
25.21754669329588,49894,281
25.22264606322372,49893,282
25.223600777803664,49892,283
25.227827380349908,49891,284
25.23057406459281,49890,285
25.232471369413414,49889,286
25.236370860703033,49888,287
25.239529486984754,49887,288
25.242197782588043,49886,289
25.248422451414424,49885,290
25.255279473994623,49884,291
25.26237814585076,49883,292
25.262656015405856,49882,293
25.267104439481653,49881,294
25.2702527727386,49880,295
25.273846559622598,49879,296
25.27533982075632,49878,297
25.279416873490803,49877,298
25.291695565498888,49876,299
25.296985616037606,49875,300
25.303529414628283,49874,301
25.308419297888523,49873,302
25.32005412187859,49872,303
25.32034507828776,49871,304
25.32406826562904,49870,305
25.328689281398617,49869,306
25.337271016561214,49868,307
25.347520506979222,49867,308
25.355797092673544,49866,309
25.358940293837524,49865,310
25.35951682765523,49864,311
25.368854595100622,49863,312
25.371370688797015,49862,313
25.37886034220644,49861,314
25.391849651644808,49860,315
25.3999452207277,49859,316
25.40863752669197,49858,317
25.409472091597028,49857,318
25.433855031803944,49856,319
25.44174256127906,49855,320
25.450006608774153,49854,321
25.46886379667387,49853,322
25.472523516302005,49852,323
25.474311568734137,49851,324
25.475313749596296,49850,325
25.482444119497277,49849,326
25.487198466113238,49848,327
25.487340883192303,49847,328
25.489366044535565,49846,329
25.493621365267686,49845,330
25.505028562711747,49844,331
25.509437417777125,49843,332
25.522835734750643,49842,333
25.5301002494086,49841,334
25.554450655548383,49840,335
25.557956288464208,49839,336
25.59474993556936,49840,335
25.60260891822502,49839,336
25.636727311189745,49838,337
25.639251505008954,49837,338
25.642033019884597,49836,339
25.66564725425963,49835,340
25.68122975419102,49834,341
25.70381858980061,49833,342
25.707387255746692,49832,343
25.742047601521733,49831,344
25.784683102330835,49830,345
25.786581390258764,49829,346
25.7990203050333,49828,347
25.815073856724325,49827,348
25.82895334684246,49826,349
25.832021492726966,49825,350
25.84968601672117,49824,351
25.853393739280666,49823,352
25.85943909607929,49822,353
25.87390586498063,49821,354
25.893166098137787,49820,355
25.909547018418476,49819,356
25.92235886200031,49818,357
25.924049362146757,49817,358
25.937519196117353,49816,359
25.943083925042586,49817,358
25.97483717962832,49816,359
25.975602784441406,49815,360
25.97784290552952,49814,361
