t,S,I
0.0,50174,1
4.074446831514661,50173,2
9.378207147591697,50172,3
10.67392863797728,50171,4
11.287353549033654,50170,5
11.509310090317673,50169,6
11.650708788720861,50168,7
12.13231055567627,50167,8
12.242404793219249,50166,9
12.243263241942966,50165,10
12.532193533487371,50164,11
12.697223420870081,50163,12
13.069531874321257,50162,13
13.152132489980161,50161,14
13.349937671777871,50160,15
13.429588906672713,50159,16
13.498503654254284,50158,17
13.563177948112171,50157,18
13.578865326394125,50156,19
13.626448557468159,50155,20
13.784056323184382,50154,21
13.793746121654607,50153,22
13.832088315663636,50154,21
13.881087510038682,50153,22
14.073236450450802,50152,23
14.089177314789792,50151,24
14.09092146587799,50150,25
14.22795114462928,50149,26
14.407537018673995,50148,27
14.484239923511156,50147,28
14.516429914499824,50146,29
14.53676460670274,50145,30
14.62101436786988,50144,31
14.67698540812169,50143,32
14.699227581457546,50142,33
14.712530335009738,50141,34
14.804499704877422,50140,35
14.847518429261612,50139,36
14.870024667803197,50138,37
14.877667774097397,50137,38
14.904507308230615,50136,39
14.956887805127106,50135,40
14.982585247802044,50134,41
15.004147033713501,50133,42
15.011006187109924,50132,43
15.022604309512777,50131,44
15.090724527319557,50130,45
15.182991568048992,50129,46
15.196630388733885,50128,47
15.244857173692937,50127,48
15.296874562681333,50126,49
15.389509677039495,50125,50
15.409392714243992,50124,51
15.476809586563869,50123,52
15.518254037846381,50122,53
15.586536776329222,50121,54
15.694219049731421,50120,55
15.715262475333805,50119,56
15.717202642218318,50118,57
15.761798772822084,50117,58
15.801416374800294,50116,59
15.805595443381566,50115,60
15.832358893571172,50114,61
15.907884841204053,50113,62
15.92967599174194,50112,63
15.938165991513722,50111,64
15.943612067202968,50110,65
15.94581999948612,50109,66
15.970750108207076,50108,67
15.984511204279872,50107,68
15.995413902676168,50106,69
16.021485575702314,50105,70
16.088311835104236,50104,71
16.09026770650489,50103,72
16.094183584353853,50102,73
16.098009195112795,50101,74
16.111491261823918,50100,75
16.122161704897795,50099,76
16.12782283633866,50098,77
16.14566796396984,50097,78
16.15825028308706,50096,79
16.163010486314615,50095,80
16.189532251202106,50094,81
16.20170737662267,50093,82
16.209831728850343,50092,83
16.281639387991465,50091,84
16.283821917564254,50090,85
16.310706814845037,50089,86
16.353060130356305,50088,87
16.363972137343108,50087,88
16.39632013705774,50086,89
16.398855278590553,50085,90
16.413237421870306,50084,91
16.416460285699056,50083,92
16.430668412332178,50082,93
16.446538518654357,50081,94
16.491366519630702,50080,95
16.52420840876852,50079,96
16.535963091421102,50078,97
16.53882408469309,50077,98
16.565173456300222,50076,99
16.566873784980256,50075,100
16.596269392144176,50074,101
16.59661459811703,50073,102
16.598155615217802,50072,103
16.601972634642717,50071,104
16.61060293241542,50072,103
16.618253351639535,50071,104
16.627199575121352,50070,105
16.727315405034755,50069,106
16.738029019309202,50068,107
16.75300123170926,50067,108
16.779829404560644,50066,109
16.824235416103505,50065,110
16.826938072599475,50064,111
16.839511270122088,50063,112
16.841963020102355,50062,113
16.858578863844443,50061,114
16.864277832554876,50060,115
16.888621125458442,50059,116
16.89466657723373,50058,117
16.915296246793485,50057,118
16.928195630638342,50056,119
16.94100822087042,50055,120
16.947783425958786,50054,121
16.96237927296764,50053,122
16.96641872295126,50052,123
16.99815973248982,50051,124
17.045322523393736,50050,125
17.05601060492428,50049,126
17.057150100475283,50048,127
17.062960484154328,50047,128
17.108964557823004,50046,129
17.112095204078255,50045,130
17.112782979651506,50046,129
17.137656329097595,50045,130
17.13802924928,50044,131
17.140797801323586,50043,132
17.143469115650998,50042,133
17.16148596512805,50041,134
17.17210468480125,50040,135
17.21841447333112,50039,136
17.296592883556283,50038,137
17.30163051198875,50037,138
17.328582994222696,50036,139
17.329604186975583,50035,140
17.333714209663754,50034,141
17.358253630946688,50033,142
17.3677553962567,50032,143
17.377921873440705,50031,144
17.38734557431886,50030,145
17.408790079079466,50029,146
17.42101261972037,50028,147
17.429969579757703,50027,148
17.432095060036872,50026,149
17.440071266998547,50025,150
17.44351455279438,50024,151
17.457023908836547,50023,152
17.465464865572613,50022,153
17.48521359030753,50021,154
17.506023635682237,50020,155
17.50929662595655,50019,156
17.53644984282698,50018,157
17.61309607977189,50017,158
17.61406096802163,50016,159
17.618974383103236,50015,160
17.622210016706234,50014,161
17.635992121874445,50013,162
17.636567277691196,50012,163
17.676119900486874,50011,164
17.68284345536403,50010,165
17.690123769217134,50009,166
17.691594071867478,50008,167
17.704376322967573,50007,168
17.70750563598508,50006,169
17.723860180001566,50005,170
17.763606133144116,50004,171
17.763968251905727,50003,172
17.799416447072105,50002,173
17.81139909291761,50001,174
17.81460498240181,50000,175
17.816648419679314,49999,176
17.822366238343697,49998,177
17.82521633995373,49997,178
17.835870034206593,49996,179
17.849251450662948,49995,180
17.853802974327067,49994,181
17.861562861027615,49993,182
17.86201280736799,49992,183
17.865633569123354,49991,184
17.87614566483484,49990,185
17.885746484490326,49989,186
17.88915098575823,49988,187
17.914740866933485,49987,188
17.923700947199595,49986,189
17.9267045206371,49985,190
17.933676649026015,49984,191
17.939832183642828,49983,192
17.945567140066256,49982,193
17.95614673502184,49981,194
17.957245751491737,49980,195
17.96144030052508,49979,196
17.96680628619197,49978,197
17.967779302762732,49977,198
17.97422770383525,49976,199
17.983489086140562,49975,200
17.985533998228526,49974,201
18.001218419405824,49973,202
18.02461241437718,49972,203
18.027912077351104,49971,204
18.055970645637327,49970,205
18.059442051533615,49969,206
18.075648071877,49968,207
18.076285485653127,49967,208
18.09235447202728,49966,209
18.111411529973818,49965,210
18.116912226368097,49964,211
18.127229307186365,49963,212
18.131486172759054,49962,213
18.154801436780126,49961,214
18.157504711592516,49962,213
18.177081246148617,49961,214
18.199689323353212,49960,215
18.200069888247278,49961,214
18.241641150280792,49960,215
18.252816693879332,49959,216
18.261724788211282,49958,217
18.263350329674566,49957,218
18.26357023396361,49956,219
18.273569006666115,49955,220
18.28229527283413,49954,221
18.28899102882229,49953,222
18.30412027389226,49952,223
18.32546094056826,49951,224
18.336470979962137,49950,225
18.338158882384363,49949,226
18.34123784491865,49948,227
18.342023677268383,49947,228
18.357178302557262,49946,229
18.363346512583234,49945,230
18.366770892993852,49944,231
18.38415298888243,49943,232
18.39754352630348,49942,233
18.412012823768315,49941,234
18.43307181163877,49940,235
18.435908676364143,49939,236
18.452382844727556,49938,237
18.455171652996924,49937,238
18.466175791103073,49936,239
18.467173744082704,49935,240
18.47163827062573,49934,241
18.472343091664186,49933,242
18.47572311833623,49932,243
18.485480402796252,49931,244
18.518275009685546,49930,245
18.526321922069478,49931,244
18.535608396619914,49930,245
18.538564678469815,49929,246
18.544502342773406,49928,247
18.592010590878914,49927,248
18.613734458941014,49926,249
18.621572737986302,49925,250
18.62180429640078,49924,251
18.623948469853538,49923,252
18.630696485494532,49922,253
18.647706917878242,49921,254
18.654765268852902,49920,255
18.655263645387894,49921,254
18.66038590501117,49920,255
18.674981373414294,49919,256
18.67965975631131,49918,257
18.696956856162526,49917,258
18.69816875253473,49916,259
18.703488308408442,49915,260
18.707429755667203,49914,261
18.70760209344744,49913,262
18.71947090812427,49912,263
18.72624419981165,49911,264
18.744091876705284,49910,265
18.747176393641368,49909,266
18.75042409588767,49908,267
18.75210042180513,49907,268
18.7715134975912,49906,269
18.790107530107676,49905,270
18.79123263336966,49904,271
18.793777303304214,49903,272
18.79540022888929,49902,273
18.79933051186921,49901,274
18.807493524816486,49900,275
18.81973982570417,49901,274
18.828384906562462,49900,275
18.82979611145301,49899,276
18.829817749237243,49898,277
18.833632777029834,49897,278
18.833946320161147,49896,279
18.873124438444037,49895,280
18.882609060892175,49894,281
18.884206841135367,49893,282
18.89157254421006,49892,283
18.90152905441759,49891,284
18.924167293299575,49890,285
18.929594977842132,49889,286
18.93119067359224,49888,287
18.938440841330742,49887,288
18.942228391262248,49886,289
18.946080194205372,49885,290
18.957510257572604,49884,291
18.96240719952776,49883,292
18.984070429554347,49882,293
19.000477965588107,49881,294
19.010576412780537,49880,295
19.018422778648322,49879,296
19.01957964166364,49878,297
19.019796418739492,49877,298
19.025966546965822,49876,299
19.041950371059023,49875,300
19.048376266372603,49874,301
19.049630471517776,49873,302
19.050884187362183,49872,303
19.052550299074436,49871,304
19.068133433687134,49870,305
19.073064551490788,49869,306
19.076728899779432,49868,307
19.080264865363986,49867,308
19.080322311533436,49866,309
19.093460028975176,49865,310
19.100489978883235,49864,311
19.112825748547127,49863,312
19.113495666650447,49862,313
19.115563736545464,49861,314
19.134956295341354,49860,315
19.135255163512774,49859,316
19.143217820504486,49858,317
19.149417427123044,49857,318
19.1543161615408,49856,319
19.19274216653532,49855,320
19.213217937190343,49854,321
19.214903069640968,49853,322
19.22317480756736,49852,323
19.224944681905846,49851,324
19.226904486695762,49850,325
19.227233723818227,49849,326
19.23118729863435,49848,327
19.24144592188469,49847,328
19.24639281226729,49846,329
19.254385088574878,49845,330
19.260735777891107,49844,331
19.267123273460513,49843,332
19.27148549317795,49842,333
19.273488659314946,49841,334
19.27499825606917,49840,335
19.275029546031057,49839,336
19.27845101379565,49838,337
19.286278474254615,49837,338
19.293787021962764,49836,339
19.29938660920498,49835,340
19.305728539837375,49834,341
19.312698708130615,49833,342
19.319076017188078,49832,343
19.322934852443574,49831,344
19.336966541588552,49830,345
19.343872809154266,49829,346
19.346195812469624,49828,347
19.358660483519646,49827,348
19.362340782259384,49826,349
19.375080457963936,49825,350
19.381569631814305,49824,351
19.381604264183878,49823,352
19.382109357898194,49822,353
19.384896589099952,49821,354
19.386963724937708,49820,355
19.388457420132703,49819,356
19.39813205145664,49818,357
19.399337094719204,49817,358
19.428929454713327,49816,359
19.430053466000746,49815,360
19.436432730960934,49814,361
19.44599707712632,49813,362
19.447448547665136,49812,363
19.45370256091467,49813,362
19.478585243959152,49812,363
19.48736496675909,49811,364
19.493006480254405,49810,365
19.501682315259895,49809,366
19.503605584009925,49808,367
19.51827230426952,49807,368
19.525874733683477,49806,369
19.538319664004028,49805,370
19.54600101822226,49804,371
19.553863724301696,49803,372
19.55528051403802,49802,373
19.566863127389976,49801,374
19.577628574749298,49800,375
19.578926421579485,49799,376
19.58342150461454,49798,377
19.60264461806274,49797,378
19.60588815524904,49796,379
19.610661747060437,49795,380
19.61430071793746,49794,381
19.618968362347953,49793,382
19.619045440960328,49792,383
19.621956739844165,49791,384
19.64006976507405,49790,385
19.64102986383373,49789,386
19.64258924300257,49788,387
19.64356381514756,49787,388
19.64462551388495,49786,389
19.645212652515344,49785,390
19.645700072081773,49784,391
19.64578013676408,49783,392
19.64585159646424,49784,391
19.64634947902464,49783,392
19.65620026668349,49782,393
19.6568954154002,49781,394
19.657674767958987,49780,395
19.671476032564378,49779,396
19.675641663410953,49778,397
19.678434893293268,49777,398
19.69336875492517,49776,399
19.70100436650458,49775,400
19.705173910251247,49774,401
19.709211750776305,49773,402
19.71154934396557,49772,403
19.711973187788686,49771,404
19.712980348608,49770,405
19.713781636232483,49769,406
19.716671012097652,49768,407
19.71790146504634,49767,408
19.72992008665664,49766,409
19.730529720118362,49765,410
19.733694311739963,49764,411
19.73414519128839,49763,412
19.74976210398663,49762,413
19.763036602584997,49761,414
19.76380088898649,49760,415
19.768866417521288,49759,416
19.77416013636865,49760,415
19.781600776559134,49759,416
19.789029778506652,49758,417
19.793960512606372,49757,418
19.801761670142273,49756,419
19.817425705687548,49755,420
19.82567416213859,49754,421
19.833286572955497,49753,422
19.843151206298376,49752,423
19.848135147713876,49751,424
19.858864099096575,49750,425
19.864482111477358,49749,426
19.869949697470837,49748,427
19.874097956504343,49747,428
19.876519561883626,49746,429
19.8775699053452,49745,430
19.882885006353025,49744,431
19.886441429451015,49745,430
19.904409750190453,49744,431
19.923329945640024,49743,432
19.927049947111012,49742,433
19.927280200061837,49741,434
19.93203100262909,49740,435
19.934513586540756,49739,436
19.947760526553115,49738,437
19.95153286506286,49737,438
19.959188748546886,49736,439
19.97217344975084,49735,440
19.9731585130201,49734,441
19.975405634514548,49733,442
19.981171878090557,49732,443
19.990971099967023,49731,444
19.992905578253627,49730,445
19.99700757687029,49729,446
19.9970186254315,49728,447
20.003036556129448,49727,448
20.018816206041357,49726,449
20.036285258642526,49725,450
20.036829415727777,49724,451
20.04490574290543,49723,452
20.047551927854382,49722,453
20.053375536908536,49721,454
20.056066893458762,49720,455
20.05827281561608,49719,456
20.063879723650444,49718,457
20.067099289441927,49717,458
20.068470811121006,49716,459
20.07073011272672,49715,460
20.073404047044885,49714,461
20.076660628849954,49713,462
20.077394163116168,49712,463
20.07792693490352,49711,464
20.078255463662376,49710,465
20.07861837567027,49709,466
20.088302549721224,49708,467
20.093470285510197,49707,468
20.095503262550594,49706,469
20.096648366603176,49705,470
20.09724845984126,49704,471
20.11133694692794,49703,472
20.11497904988215,49702,473
20.118151015113515,49701,474
20.118773056884486,49700,475
20.119437762886783,49699,476
20.123107088970713,49698,477
20.12797400632871,49697,478
20.13017962093823,49696,479
20.1331422081605,49695,480
20.13637677678839,49694,481
20.13927142012246,49693,482
20.141473588772218,49692,483
20.145079505824654,49691,484
20.145117085921328,49690,485
20.14668997311701,49689,486
20.149548566389946,49688,487
20.163001176083977,49687,488
20.163338270063655,49686,489
20.17314051942827,49685,490
20.17402461935074,49684,491
20.179578138893962,49683,492
20.180071950510957,49682,493
20.185227540019742,49681,494
20.18594227716757,49680,495
20.189161250410393,49679,496
20.1925523073121,49678,497
20.196360513178785,49677,498
20.201101454776687,49676,499
20.20184379656465,49675,500
20.202465348624806,49674,501
20.21479111435901,49673,502
20.21727036756557,49672,503
20.221002770929942,49671,504
20.22231019499283,49670,505
20.227720915936096,49669,506
20.229670219057425,49668,507
20.231398084567292,49667,508
20.2345016979989,49666,509
20.235445768431454,49665,510
20.237866715511874,49664,511
20.241297754607526,49663,512
20.24607559018439,49664,511
20.246396632677513,49663,512
20.247585187433078,49662,513
20.259349140388135,49661,514
20.262745766495755,49660,515
20.26549794047768,49659,516
20.27223831554831,49658,517
20.273749198780905,49657,518
20.276837420594333,49656,519
20.27781304883332,49655,520
20.2855895016128,49654,521
20.2898845895047,49653,522
20.290695204311213,49652,523
20.291837219022153,49651,524
20.292003945774088,49650,525
20.295857843452186,49649,526
20.29789329760209,49648,527
20.29875996020737,49647,528
20.29897307279063,49646,529
20.30056047366532,49645,530
20.304907981834926,49644,531
20.313027357609542,49643,532
20.314127712691015,49642,533
20.316443291067912,49641,534
20.320008037051302,49640,535
20.321778639344387,49639,536
20.325019721244566,49638,537
20.32664367347231,49637,538
20.330498367179473,49636,539
20.332364039046787,49635,540
20.335311757057532,49634,541
20.337880250017054,49633,542
20.343375069922576,49632,543
20.34802624465466,49631,544
20.34846245853473,49630,545
20.353585413127774,49629,546
20.354449055907896,49628,547
20.35486757884445,49627,548
20.355282367301076,49626,549
20.356450376161927,49625,550
20.35861701120464,49624,551
20.361289180103793,49623,552
20.362973571764652,49622,553
20.363799302080054,49621,554
20.36729003796036,49620,555
20.367912328588723,49619,556
20.372634875956464,49618,557
20.373117346147684,49617,558
20.37398476362936,49616,559
20.375833797889282,49615,560
20.37598752676481,49614,561
20.377714229623184,49613,562
20.377755439611818,49612,563
20.38012717417649,49611,564
20.380788412052937,49610,565
20.38276055233854,49609,566
20.384786437162607,49608,567
20.387189196646467,49607,568
20.387861979259984,49606,569
20.38846976318878,49605,570
20.390908104398584,49604,571
20.39130782977516,49603,572
20.393932293368014,49602,573
20.395369908552883,49601,574
20.40012392408268,49600,575
20.400170835471233,49599,576
20.401961133291092,49598,577
20.402097812890556,49597,578
20.40348141651933,49596,579
20.404346363644454,49595,580
20.405552080471278,49594,581
20.406862932515867,49593,582
20.408022390357253,49592,583
20.41028638988935,49591,584
20.411460776027777,49590,585
20.411656886503277,49589,586
20.412073301894647,49588,587
20.412561635298065,49587,588
20.413802003653814,49586,589
20.414771642276218,49585,590
20.416853200134497,49584,591
20.41829039889154,49583,592
20.41875586319663,49582,593
20.420275290181376,49581,594
20.421204254081115,49580,595
20.42475091232367,49579,596
20.425149542619472,49578,597
20.425563399313923,49577,598
20.426069677263087,49576,599
20.426943424058056,49575,600
20.43397551631408,49574,601
20.43453927239768,49573,602
20.438614246275545,49572,603
20.438689333631185,49571,604
20.43908392283533,49570,605
20.439937146847182,49569,606
20.442603199596785,49568,607
20.44269591003099,49567,608
20.443248518156597,49566,609
20.44632634488968,49565,610
20.447540885016238,49564,611
20.450158621930285,49563,612
20.4503474539116,49562,613
20.45084602309462,49561,614
20.452433013601397,49560,615
20.455312553129197,49559,616
20.455618163312653,49558,617
20.45570042407282,49557,618
20.458132037412792,49556,619
20.459072565726895,49555,620
20.46079595857073,49554,621
20.46294211139781,49553,622
20.465012462905115,49552,623
20.465511374006724,49551,624
20.46981093446642,49550,625
20.470635211559426,49549,626
20.471659811232865,49548,627
20.47738650157994,49547,628
20.48146541624932,49546,629
20.482595431816495,49545,630
20.485423760168764,49544,631
20.486540906340036,49543,632
20.488709621378142,49542,633
20.49584858812936,49541,634
20.496679915088404,49540,635
20.49705348496043,49539,636
20.499099447039463,49538,637
20.4991585042546,49537,638
20.499922945362286,49536,639
20.500803381035514,49535,640
20.50127016248412,49534,641
20.503627812024618,49533,642
20.507471008293784,49532,643
20.507883676571822,49531,644
20.510385038327694,49530,645
20.51138555793145,49529,646
20.512716576606053,49528,647
20.51516094173075,49527,648
20.517873061829267,49526,649
20.520393868815674,49525,650
20.521319851736873,49524,651
20.52247768620197,49523,652
20.52280616695883,49522,653
20.5233435495709,49521,654
20.52699738272148,49520,655
20.527702001895225,49519,656
20.529701935497894,49518,657
20.53055181479105,49517,658
20.532243473533686,49516,659
20.53326830775973,49515,660
20.533850535370103,49514,661
20.534624154186837,49513,662
20.535622763949227,49512,663
20.53753314482933,49511,664
20.53779233254043,49510,665
20.539611050699442,49509,666
20.54210929626402,49508,667
20.54273905489455,49507,668
20.54366374187992,49506,669
20.54712567236404,49505,670
20.547379277007895,49504,671
20.548075227574788,49503,672
20.548145210826583,49502,673
20.548231830263266,49501,674
20.552083726978445,49500,675
20.557511614523484,49499,676
20.560257938677843,49498,677
20.56125558383111,49497,678
20.56516389877468,49496,679
20.569464923991095,49495,680
20.570406678882883,49494,681
20.57102311049687,49493,682
20.571073782622474,49492,683
20.57179825857801,49491,684
20.57509230788861,49490,685
20.577041163903978,49489,686
20.57862798183028,49488,687
20.579381831733926,49487,688
20.58030373398708,49486,689
20.580337340512596,49485,690
20.585718891305024,49484,691
20.586109620276748,49483,692
20.586432803963138,49482,693
20.58774785385708,49481,694
20.59068714465039,49480,695
20.592577795688726,49479,696
20.597263906585162,49478,697
20.599530731860703,49477,698
20.602205148186986,49476,699
20.602978918518907,49475,700
20.6049260337803,49474,701
20.605054521688114,49473,702
20.60545333077203,49472,703
20.605718947711644,49471,704
20.608774790187887,49470,705
20.610607262457737,49469,706
20.6112718474045,49468,707
20.613214841326297,49467,708
20.613288964231035,49466,709
20.61365846684905,49465,710
20.614377514940198,49464,711
20.61582497090879,49463,712
20.616626947584724,49462,713
20.617431414564432,49461,714
20.618870383594007,49460,715
20.619291095767576,49459,716
20.621830879400285,49458,717
20.62254252369946,49457,718
20.626393608839624,49456,719
20.627531761607298,49455,720
20.628710943623208,49454,721
20.62873047153469,49453,722
20.629654201431354,49452,723
20.631084323018822,49451,724
20.6313138226888,49450,725
20.631662340452174,49449,726
20.63239494475588,49448,727
20.634118769751176,49447,728
20.63537971630692,49446,729
20.635553225568263,49445,730
20.64036988296928,49444,731
20.640527058255316,49443,732
20.64077516619536,49442,733
20.643521198168642,49441,734
20.644117043724815,49440,735
20.646197006741506,49439,736
