t,S,I,R
0.0,55748,1,0
0.18053966854783748,55747,2,0
0.2921971537660635,55746,3,0
0.30042350422002334,55745,4,0
0.36637657643078886,55744,5,0
0.39114867481794746,55743,6,0
0.39790354993936367,55742,7,0
0.43847627976750486,55741,8,0
0.45619506842041624,55740,9,0
0.4992702463828872,55739,10,0
0.5356195123392045,55738,11,0
0.5462394128905004,55737,12,0
0.5465015416534268,55736,13,0
0.5556081607272532,55735,14,0
0.5613575188301867,55734,15,0
0.5614478633091015,55733,16,0
0.571195767914858,55732,17,0
0.5723070099871567,55731,18,0
0.5745223614716388,55730,19,0
0.5815486810604369,55729,20,0
0.5836585987645689,55728,21,0
0.58960452569733,55727,22,0
0.5917354560020857,55726,23,0
0.5978372971996353,55725,24,0
0.601461022285649,55724,25,0
0.6027586574433217,55723,26,0
0.6042361356696078,55722,27,0
0.6075089259200522,55721,28,0
0.607976057076616,55720,29,0
0.6154402865486513,55719,30,0
0.6156810759689195,55718,31,0
0.6190768224717956,55717,32,0
0.6193086529980316,55716,33,0
0.6217496726836734,55715,34,0
0.6264081197380088,55714,35,0
0.6282678653096707,55713,36,0
0.62924909988412,55712,37,0
0.6294625546628153,55711,38,0
0.6295334443962786,55710,39,0
0.6330009247764785,55709,40,0
0.6354726571869084,55708,41,0
0.6384101868622886,55707,42,0
0.6404632178575937,55706,43,0
0.642523272116451,55705,44,0
0.6459296056134876,55704,45,0
0.6469826730300158,55703,46,0
0.6470017597632927,55702,47,0
0.6473334387949408,55701,48,0
0.6493075267436641,55700,49,0
0.6511005774449455,55699,50,0
0.6518921130811007,55698,51,0
0.6520173640753947,55697,52,0
0.6521063347701701,55696,53,0
0.6522860238158372,55695,54,0
0.652450779743056,55694,55,0
0.6545357363146658,55693,56,0
0.654540539048788,55692,57,0
0.6555118847145928,55691,58,0
0.6555423196191668,55690,59,0
0.6558633085443266,55689,60,0
0.6563430364178857,55688,61,0
0.6565107736826572,55687,62,0
0.6568886847063579,55686,63,0
0.6575150192484943,55685,64,0
0.6575835247595738,55684,65,0
0.6578822015470192,55683,66,0
0.6581252260176482,55682,67,0
0.6581870080290182,55681,68,0
0.6589787193907073,55680,69,0
0.6593556809356859,55679,70,0
0.6597146267137556,55678,71,0
0.6598878351814818,55677,72,0
0.6599003768479532,55676,73,0
0.6601881086368936,55675,74,0
0.6605748575319277,55674,75,0
0.6612072995160597,55673,76,0
0.6614861784861779,55672,77,0
0.6621546120751619,55671,78,0
0.6642922978601926,55670,79,0
0.664331670130697,55669,80,0
0.6643733789520163,55668,81,0
0.664673025213742,55667,82,0
0.6650454619053326,55666,83,0
0.6658771344644251,55665,84,0
0.6667423933675708,55664,85,0
0.6675941865428321,55663,86,0
0.6678799610009375,55662,87,0
0.6680203801716282,55661,88,0
0.6680755749883169,55660,89,0
0.668810412984638,55659,90,0
0.6693424884850699,55658,91,0
0.6716388351502792,55657,92,0
0.672400041662168,55656,93,0
0.6724313302062288,55655,94,0
0.6731468376649477,55654,95,0
0.6739335467179237,55653,96,0
0.6743738920162281,55652,97,0
0.6745842504988484,55651,98,0
0.6753123413430628,55650,99,0
0.6754535566632067,55649,100,0
0.6759936323499364,55648,101,0
0.676831364824948,55647,102,0
0.6768338592709763,55646,103,0
0.6771559479261868,55645,104,0
0.6774314754703519,55644,105,0
0.677471641008417,55643,106,0
0.6775243872704374,55642,107,0
0.6779230202068995,55641,108,0
0.6782060642848096,55640,109,0
0.6784048172469921,55639,110,0
0.6785127288262006,55638,111,0
0.6790093537136545,55637,112,0
0.6797466697130448,55636,113,0
0.6798339564233776,55635,114,0
0.6805303519555754,55634,115,0
0.6805985585020378,55633,116,0
0.680974968787515,55632,117,0
0.681502919342007,55631,118,0
0.6816136173881091,55630,119,0
0.6816466226526838,55629,120,0
0.6818855067254604,55628,121,0
0.6825070025486109,55627,122,0
0.6833358886456129,55626,123,0
0.6834476414454103,55625,124,0
0.6837046931640379,55624,125,0
0.6839273182783133,55623,126,0
0.6839749544684329,55622,127,0
0.6841263122539832,55621,128,0
0.6841767884781853,55620,129,0
0.6843710706983601,55619,130,0
0.6844402890806448,55618,131,0
0.684472531377034,55617,132,0
0.6849429690400707,55616,133,0
0.6856702588744997,55615,134,0
0.6856997925451251,55614,135,0
0.6860570833624338,55613,136,0
0.6860889699022051,55612,137,0
0.6869204635259415,55611,138,0
0.6871171672716596,55610,139,0
0.6882741845170406,55609,140,0
0.6882873449781859,55608,141,0
0.6884199155684093,55607,142,0
0.6884637702647317,55606,143,0
0.6886862250304633,55605,144,0
0.68917486446618,55604,145,0
0.6892280338303618,55603,146,0
0.6897979118693788,55602,147,0
0.6898676764017994,55601,148,0
0.6902712763854476,55600,149,0
0.6903688694886653,55599,150,0
0.6903923860008156,55598,151,0
0.690438987966103,55597,152,0
0.6905588857545526,55596,153,0
0.6906079538816837,55595,154,0
0.6906585169906369,55594,155,0
0.6907960790504546,55593,156,0
0.690953996789134,55592,157,0
0.6909835978899592,55591,158,0
0.6911163822599616,55590,159,0
0.6911268575908261,55589,160,0
0.6912376422657338,55588,161,0
0.6913722889100022,55587,162,0
0.6917072404694374,55586,163,0
0.6917917483309832,55585,164,0
0.6918301300707307,55584,165,0
0.6918439136042069,55583,166,0
0.692442187643241,55582,167,0
0.692477745253113,55581,168,0
0.6928998931328317,55580,169,0
0.6929239261672963,55579,170,0
0.6931844383237429,55578,171,0
0.6932432885477106,55577,172,0
0.6932672562237304,55576,173,0
0.6933113348296206,55575,174,0
0.6933639210302014,55574,175,0
0.6935422707957302,55573,176,0
0.693600380327322,55572,177,0
0.6936746666549436,55571,178,0
0.6937141878076173,55570,179,0
0.6937440529565708,55569,180,0
0.6937626632901176,55568,181,0
0.6938456018553975,55567,182,0
0.6939518109499829,55566,183,0
0.6941664966956633,55565,184,0
