t,S,I
0.0,50174,1
12.963732643600247,50173,2
14.264341221025502,50172,3
14.65781821282326,50171,4
14.929336285434527,50170,5
15.226926181462954,50169,6
15.247203883798175,50168,7
15.270926155952546,50167,8
15.302218110655536,50166,9
15.330391627096445,50165,10
15.381933800832108,50164,11
15.44000659583959,50163,12
15.465314579198802,50162,13
15.53849698881674,50161,14
15.71118654977804,50160,15
15.812636906445489,50159,16
15.830359607390118,50158,17
15.849978928525761,50157,18
15.900402582455277,50156,19
16.00916160444695,50155,20
16.059877206285552,50154,21
16.138774155908315,50153,22
16.156771635784608,50152,23
16.265280540210956,50151,24
16.282973407896307,50150,25
16.296915118259598,50149,26
16.306003618149568,50148,27
16.3518237447187,50147,28
16.35289323317595,50146,29
16.460893201189776,50145,30
16.49818880794961,50144,31
16.536218933145502,50143,32
16.572017446739267,50142,33
16.718952575214878,50141,34
16.72892267776811,50140,35
16.819212194274808,50139,36
16.852759188023732,50138,37
16.858102121061208,50137,38
16.861284235661756,50136,39
16.92141397559924,50135,40
16.926070754586757,50134,41
16.990381200390598,50133,42
17.019226406000044,50132,43
17.033817890954218,50131,44
17.03796096051284,50130,45
17.101585414193504,50129,46
17.102947401190683,50128,47
17.122394301265196,50127,48
17.167176076907236,50126,49
17.20616078600787,50125,50
17.208778662048854,50124,51
17.275675379229437,50123,52
17.353445139789596,50122,53
17.368221501634793,50121,54
17.38155528991029,50120,55
17.43159709508928,50119,56
17.489724756400324,50118,57
17.50007596918717,50117,58
17.512401585884376,50116,59
17.55147669301198,50115,60
17.560088589371695,50114,61
17.60425692322424,50113,62
17.643328409543656,50112,63
17.646258628990413,50111,64
17.65412566915546,50112,63
17.655788968812974,50111,64
17.666449936229753,50110,65
17.67004936789483,50109,66
17.68373316542672,50108,67
17.68638414356219,50107,68
17.779625345005595,50106,69
17.80579019261443,50105,70
17.87626593102624,50104,71
17.891564279244186,50103,72
17.931420422232264,50102,73
17.942812486159212,50101,74
18.046327801466365,50100,75
18.072392019263965,50099,76
18.110957844878733,50098,77
18.117102048255607,50097,78
18.182669757964874,50096,79
18.184716809408265,50095,80
18.193502269240142,50094,81
18.205386010169658,50093,82
18.241541731985382,50092,83
18.3486654906005,50091,84
18.372240229973272,50090,85
18.415903526405362,50089,86
18.442352406412347,50088,87
18.458863429161035,50087,88
18.46813540949575,50086,89
18.471461480230953,50085,90
18.502406546814516,50084,91
18.51788930976697,50083,92
18.548737945007655,50082,93
18.55087790405643,50081,94
18.555318189446076,50080,95
18.574048595512192,50079,96
18.60585546515796,50078,97
18.61734717249744,50077,98
18.620838223520618,50076,99
18.657976535082007,50075,100
18.683610469714054,50074,101
18.683639571435723,50073,102
18.699039766568962,50072,103
18.714118193598637,50071,104
18.714203684384948,50070,105
18.71445822943287,50069,106
18.73906938611137,50068,107
18.743365448979382,50067,108
18.756770162997558,50066,109
18.792367625658752,50065,110
18.814687202175858,50064,111
18.82529521888772,50063,112
18.83574179046781,50062,113
18.841397817076185,50061,114
18.85388271123361,50060,115
18.860741644185833,50059,116
18.889887063995495,50058,117
18.893868868452333,50057,118
18.90547295807741,50056,119
18.911500390651387,50055,120
18.920446315632507,50054,121
18.942215911041792,50053,122
18.942950596528554,50052,123
18.949125446655177,50051,124
18.956102092656803,50050,125
18.9623795163254,50049,126
18.97762786328533,50048,127
18.983792333902727,50047,128
18.998854910436044,50046,129
18.999011030533126,50045,130
19.00314120387928,50044,131
19.014267208035086,50043,132
19.01627811824692,50042,133
19.020851308105332,50041,134
19.03820554837316,50040,135
19.05148826702934,50039,136
19.053946597391466,50038,137
19.056477796072752,50037,138
19.064468603637135,50036,139
19.070060332841063,50035,140
19.08417635875338,50034,141
19.089788236766555,50033,142
19.090900644007416,50032,143
19.0989039932166,50031,144
19.10200848796203,50030,145
19.104557613171437,50029,146
19.113022936909307,50028,147
19.131084768049035,50027,148
19.133925481940654,50026,149
19.145755659588396,50025,150
19.149062741068807,50024,151
19.150150693079073,50023,152
19.152016879731136,50022,153
19.155835960455722,50021,154
19.16032082029766,50020,155
19.163403548272814,50019,156
19.170031756736567,50018,157
19.172795379545114,50017,158
19.17461500860366,50016,159
19.17474261413421,50015,160
19.179064269832182,50014,161
19.17939301364952,50013,162
19.18021999517065,50012,163
19.181261748269627,50011,164
19.183254647636538,50010,165
19.186858556436416,50009,166
19.187169784123995,50008,167
19.189870752727497,50007,168
19.19051328366777,50006,169
19.1976236873466,50005,170
19.197958215549512,50004,171
19.20060863835923,50003,172
19.20116205929488,50002,173
19.20265112451311,50001,174
19.202843785131993,50000,175
19.203752733458092,49999,176
19.212694970455008,49998,177
19.22081680129572,49997,178
19.223523766853734,49996,179
19.224132688345673,49995,180
19.224188730875966,49994,181
19.226838078463594,49993,182
19.22799096031785,49992,183
19.230931413514504,49991,184
19.234031776835224,49990,185
19.23646941996409,49989,186
19.23791145566209,49988,187
19.240792233680228,49987,188
19.241226777332034,49986,189
19.24126875263182,49985,190
19.242705419031637,49984,191
19.242744874507697,49983,192
19.245164658324317,49982,193
19.245269459149345,49981,194
19.24566361492854,49980,195
19.245751513749756,49979,196
19.247152973792883,49978,197
19.24726855446562,49977,198
19.24872678960651,49976,199
19.2490956037141,49975,200
19.24968350275757,49974,201
19.25566993034363,49973,202
19.257979349269487,49972,203
19.261346402232356,49971,204
19.261719529800107,49970,205
19.263528412272972,49969,206
19.264352800193286,49968,207
19.265309448963247,49967,208
19.26565351782463,49966,209
19.266295636096633,49965,210
19.266873362226917,49964,211
19.268244793527977,49963,212
19.272369206886918,49962,213
19.27392858082424,49961,214
19.276116707254694,49960,215
19.27748088416703,49959,216
19.28006504957219,49958,217
19.280560976948035,49957,218
19.28111680261287,49956,219
19.283661204539502,49955,220
19.285180748729246,49954,221
19.2853936997511,49953,222
19.28873707556242,49952,223
19.29289246919288,49951,224
19.293014963039436,49950,225
19.293605861803538,49949,226
19.29502800721299,49948,227
19.2973527085014,49947,228
19.301200183554638,49946,229
19.30160598840768,49945,230
19.303659666104743,49944,231
19.30507575184637,49943,232
19.30542640415158,49942,233
19.30749297020808,49941,234
19.307607691183755,49940,235
19.30769344271254,49939,236
19.30830966711757,49938,237
19.308569971727174,49937,238
19.311177146124393,49936,239
19.3115036918933,49935,240
19.311752151368243,49934,241
19.31241365664344,49933,242
19.31440219055217,49932,243
19.31456266410503,49931,244
19.31716288235498,49930,245
19.31754571689231,49929,246
19.318173854890752,49928,247
19.320211295932538,49927,248
19.324453240006136,49926,249
19.32449000768503,49925,250
19.325264652230643,49924,251
19.325968366940035,49923,252
19.326562464831987,49922,253
19.326669433383692,49921,254
19.329388049325885,49920,255
19.329419014866094,49919,256
19.330058699410408,49918,257
19.331043569858956,49917,258
19.332345155917746,49916,259
19.336115508147905,49915,260
19.336153460077472,49914,261
19.338872667896307,49913,262
19.339000923865775,49912,263
19.339272761495486,49911,264
19.33977462563471,49910,265
19.34398349850846,49909,266
19.347327870948703,49908,267
19.349529224970176,49907,268
19.350688029625285,49906,269
19.35356030659222,49905,270
19.355138633644952,49904,271
19.3570910292302,49903,272
19.35742038977685,49902,273
19.35843655690991,49901,274
19.359414183871618,49900,275
19.36125843463492,49899,276
19.361685424726595,49898,277
19.362344081614204,49897,278
19.36234538873668,49896,279
19.36266350176038,49895,280
19.364362735239663,49894,281
19.36630606752234,49893,282
19.366502256279166,49892,283
19.36655757756775,49891,284
19.368052625892084,49890,285
19.37026638905688,49889,286
19.371083017824667,49888,287
19.373537754562104,49887,288
19.375704379858576,49886,289
19.375878309651767,49885,290
19.37729216833865,49884,291
19.38016303258704,49883,292
19.3807483242935,49882,293
19.38185026443923,49881,294
19.38192290002814,49880,295
19.38313554507698,49879,296
19.38381155718855,49878,297
19.38511926438468,49877,298
19.38668850371851,49876,299
19.386772387018823,49875,300
19.386818557075497,49874,301
19.38791068569593,49873,302
19.3884330355073,49872,303
19.38853440925429,49871,304
19.38988528503043,49870,305
19.39018849933217,49869,306
19.394390727587368,49868,307
19.39453438048879,49867,308
19.39530781739379,49866,309
19.395656291028615,49865,310
19.39864549594423,49864,311
19.399760368800255,49863,312
19.401089136527283,49862,313
19.401492177226277,49861,314
19.403743824929332,49860,315
19.40378861936137,49859,316
19.4046050210256,49858,317
19.404745586554167,49857,318
19.4053884604693,49856,319
19.406284400215547,49855,320
19.407568475603604,49854,321
19.4078222558472,49853,322
19.41203668525208,49852,323
19.41347380224426,49851,324
19.414336007616733,49850,325
19.41895762103488,49849,326
19.421148945420892,49848,327
19.42160670629271,49847,328
19.422421635538814,49846,329
19.424706895043805,49845,330
19.425307798683388,49844,331
19.425382405123923,49843,332
19.427305396120484,49842,333
19.428999931965368,49841,334
19.429216472792852,49840,335
19.429647047985608,49839,336
19.42983310122004,49838,337
19.430266997753378,49837,338
19.43082750480045,49836,339
19.43383556957017,49835,340
19.434182493643803,49834,341
19.434492952919825,49833,342
19.435437578485594,49832,343
19.43626911094173,49831,344
19.43678037089002,49830,345
19.436965657936998,49829,346
19.438410830791653,49828,347
19.441816586047974,49827,348
19.443866421681307,49826,349
19.445097850915786,49825,350
19.44568950888663,49824,351
19.44807226106169,49823,352
19.448638330939833,49822,353
19.45028401711581,49821,354
19.450629095007546,49820,355
19.453544893217362,49819,356
19.45478089077775,49818,357
19.45512137545439,49817,358
19.45657358039047,49816,359
19.460845074270946,49815,360
19.462182291904877,49814,361
19.46302163377097,49813,362
19.46462051472171,49812,363
19.46493822883021,49811,364
19.46557961497703,49810,365
19.465812245157892,49809,366
19.46851644267085,49808,367
19.468783260350957,49807,368
19.46930261520303,49806,369
19.47047133638678,49805,370
19.47090102936955,49804,371
19.47543191917757,49803,372
19.47562155331257,49802,373
19.476456191686527,49801,374
19.476824209302226,49800,375
19.477465728107024,49799,376
19.478065427990657,49798,377
19.478467148784862,49797,378
19.478941174293755,49796,379
19.479133664136306,49795,380
19.481905730070068,49794,381
19.48282572498337,49793,382
19.483230433328675,49792,383
19.483830772445472,49791,384
19.490360033889242,49790,385
19.49056456406626,49789,386
19.491842824285545,49788,387
19.494784333196545,49787,388
19.497705757043306,49786,389
19.499466737911057,49785,390
19.50064742011142,49784,391
19.504226198442936,49783,392
19.50480070396802,49782,393
19.506320137226087,49781,394
19.508242365138816,49780,395
19.508304578121603,49779,396
19.50832432714162,49778,397
19.51106757985194,49777,398
19.517557463505426,49776,399
19.51890697084904,49775,400
19.52033343319757,49774,401
19.52139297025775,49773,402
19.523297492838918,49772,403
19.523665534114713,49771,404
19.523703404881214,49770,405
19.526649943487737,49769,406
19.530106834559913,49768,407
19.530542250376996,49767,408
19.531003196278323,49766,409
19.533577883189146,49765,410
19.536281074493466,49764,411
19.542362256784216,49763,412
19.542709186054307,49762,413
19.543169126407225,49761,414
19.5434572500488,49760,415
19.543860241099583,49759,416
19.54811366084191,49758,417
19.55115937490824,49757,418
19.557582565744486,49756,419
19.557877896953904,49755,420
19.560078594610907,49754,421
19.56358827536904,49753,422
19.569724385365113,49752,423
19.575738651342597,49751,424
19.576413869257962,49750,425
19.58738141025993,49749,426
19.595310269476304,49748,427
19.600590916554616,49747,428
19.60080636670932,49746,429
19.60118361956559,49745,430
19.605529828775207,49744,431
19.607258518222984,49743,432
19.619246083337043,49742,433
19.62228067535336,49741,434
19.62693737369393,49740,435
19.632920952381372,49739,436
19.63623847033098,49738,437
19.63632960003482,49737,438
19.636592355067727,49736,439
19.637717099396333,49735,440
19.640622639750866,49734,441
19.64197318045406,49733,442
19.6438850154218,49732,443
19.64877886843197,49731,444
19.65037388635728,49730,445
19.651880096325115,49729,446
19.658134357824345,49728,447
19.65978533094086,49727,448
19.6699588945253,49726,449
19.670727073242613,49725,450
19.673226366481554,49724,451
19.67481689327212,49723,452
19.682001171082128,49722,453
19.702115756204535,49721,454
19.718754278332995,49720,455
19.72030253132268,49719,456
19.726011579100682,49718,457
19.729471533922712,49717,458
19.733104991679106,49716,459
19.736566762220985,49715,460
19.73840391705894,49714,461
19.74727769044946,49713,462
19.7482893138045,49712,463
19.749297416529444,49711,464
19.751221440107564,49710,465
19.755092512839795,49709,466
19.76054928232437,49708,467
19.790469450200476,49707,468
19.79143828437492,49706,469
19.79810201740649,49705,470
19.827519172608753,49704,471
19.833528600104803,49703,472
19.83920808389676,49702,473
19.84091929506878,49701,474
19.84173450482767,49700,475
19.851656386735336,49699,476
19.858381214169082,49698,477
19.911874762063213,49697,478
19.946357872056833,49696,479
19.94987529385307,49697,478
19.97493428897713,49696,479
19.992738184651223,49695,480
20.026041376801665,49694,481
20.027359831597266,49693,482
20.0310130278206,49692,483
20.04301332208055,49691,484
20.048852025373794,49690,485
20.05020781191834,49689,486
20.056352397699627,49688,487
20.06495495469784,49687,488
20.085157056942357,49686,489
20.087497158704895,49685,490
20.098204335785546,49684,491
20.10225236667788,49683,492
20.11021377699321,49682,493
20.137503362270884,49681,494
20.13903835936552,49680,495
20.144199560685234,49679,496
20.145676593780273,49678,497
20.16432911179315,49679,496
20.200207899135762,49678,497
20.201560006994587,49677,498
20.20317085191899,49676,499
20.217972315402495,49675,500
20.237536375564673,49674,501
20.275522623699892,49673,502
20.278397297068597,49672,503
20.288570119213638,49671,504
20.289999854770535,49670,505
20.299768854032852,49669,506
20.31326847443983,49668,507
20.316849495914383,49667,508
20.330403565676516,49666,509
20.34265363109941,49665,510
20.35492266395069,49664,511
20.35755120914209,49663,512
20.358121256321695,49662,513
